"","Country","continent","region","ISO3","wbcode","Climate_NominalScore","Climate_AdjustedScore","Hunger_Score","Corruption_Score","Fragile_State","LIFDC","Average_Conflict","GDP","HDI_2014","Corruption_Zscore","Climate_Zscore","Conflict_Zscore","Hunger_Zscore","Climate_Nominal_Zscore","Conflict_Zscore_Reversed","Summary_ZScore","Summary_ZScore_2","Summary_ZScore_3","Summary_ZScore_4","Summary_ZScore_5"
"145","Malawi","Africa","Eastern Africa","MWI","MWI",37.8529552712,9.10353097474,27.3,31,0,1,2.63111155775,20.56,0.445,-0.575609904499536,0.509544839336957,-0.62490556191477,0.820981890089263,-1.07062672540354,0.62490556191477,0.186280165584064,-0.340443689329434,0.0246478287076172,-0.222860581744383,-0.823118314951536
"146","Malaysia","Asia","South-Eastern Asia","MYS","MYS",63.0943169363,1.79526069149,10.3,50,0,0,3.292072798,813.52,0.779,0.369527346098467,0.0137386497374657,-0.326763629709362,-0.627552643209366,0.799455611969978,0.326763629709362,0.236676541848432,0.498582195925936,0.348145487903915,0.56310962083967,0.584491479034223
"147","Maldives","Asia","Southern Asia","MDV","MDV",49.9373426461,-6.20739255869,NA,NA,0,0,NA,4.73,0.706,NA,-0.529175728203857,NA,NA,-0.175318473510524,NA,NA,NA,NA,NA,NA
"148","Mali","Africa","Western Africa","MLI","MLI",37.1717433071,2.07065762452,29.6,35,1,1,6.30785580275,29.15,0.419,-0.376633641215745,0.0324220725859526,1.03357539986567,1.0169600916532,-1.12109636642264,-1.03357539986567,-0.459262322831822,-0.84376846916802,-0.70510452054071,-1.07733588314416,-0.748865003819192
"149","Malta","Europe","Southern Europe","MLT","MLT",61.7884393663,-1.33457112653,NA,56,0,0,NA,14.75,0.839,0.667991741024153,-0.198594765371213,NA,NA,0.702705737267068,NA,NA,NA,NA,NA,0.68534873914561
"150","Marshall Islands","Oceania","Micronesia","MHL","MHL",NA,NA,NA,NA,1,0,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Martinique","Americas","Caribbean","MTQ","MTQ",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Mauritania","Africa","Western Africa","MRT","MRT",33.3567473149,-10.2731008639,22.6,31,0,1,5.33844811525,16.43,0.506,-0.575609904499536,-0.805000686053219,0.596301527442068,0.420504695589054,-1.40374184002355,-0.596301527442068,-0.658970705998274,-0.85855109065505,-0.585955715970802,-1.00002168373281,-0.989675872261541
"153","Mauritius","Africa","Eastern Africa","MUS","MUS",59.9492107647,1.45885687455,12.9,53,0,0,2.06611013775,24.51,0.777,0.51875954356131,-0.0090835897500391,-0.879762586501999,-0.406012067528399,0.56644094427058,0.879762586501999,0.463146180104423,0.65498769144463,0.699261065031654,0.723101765386289,0.542600243915945
"154","Mayotte","Africa","Eastern Africa","MYT","MYT",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Mecklenburg Schwerin",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Mexico","Americas","Central America","MEX","MEX",56.1452777765,-1.5351287579,7.3,35,0,0,5.2072242175,2220.13,0.756,-0.376633641215745,-0.21220095550249,0.537109937914199,-0.883176384379712,0.284615106656558,-0.537109937914199,-0.375314844877478,-0.209709490824462,-0.456871789564972,-0.12624741562882,-0.0460092672795937
"157","Micronesia, Federated States of","Oceania","Micronesia","FSM","FSM",NA,NA,NA,NA,1,0,NA,0.31,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Modena",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Moldova, Republic of","Europe","Eastern Europe","MDA","MDA",53.9877386886,8.05048090219,9.1,33,0,0,4.8594666925,17.78,0.693,-0.476121772857641,0.438104029994544,0.380245822246456,-0.729802139677504,0.124767322134955,-0.380245822246456,-0.139421188369851,-0.243866757656381,-0.428183797552048,-0.12773925005575,-0.175677225361343
"160","Monaco","Europe","Western Europe","MCO","MCO",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Mongolia","Asia","Eastern Asia","MNG","MNG",55.6466071751,1.37116823207,14.7,39,0,1,3.5822242175,36.43,0.727,-0.177657377931955,-0.0150325448398373,-0.195884087046388,-0.252637822826191,0.24766959253499,0.195884087046388,0.00106472142486501,0.0886321005498073,0.00911335455721615,0.221776839790689,0.0350061073015172
"162","Montenegro","Europe","Southern Europe","MNE","MNE",59.8812475552,3.40313214319,2.5,44,0,0,2.658164888,9.83,0.802,0.0710629511727823,0.122819538502661,-0.612702528420287,-1.29217437025227,0.56140568510495,0.612702528420287,0.268861672698577,0.41505705489934,0.341882739796534,0.587054106762618,0.316234318138866
"163","Montserrat","Americas","Caribbean","MSR","MSR",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Morocco","Africa","Northern Africa","MAR","MAR",50.5745559156,1.00500281442,9.5,36,0,0,4.011214762,274.53,0.628,-0.326889575394798,-0.0398738648036384,-0.00237792957987189,-0.695718974188125,-0.128108608359723,0.00237792957987189,-0.121461836872855,-0.150873418058216,-0.162255822907463,-0.0628653393899254,-0.22749909187726
"165","Mozambique","Africa","Eastern Africa","MOZ","MOZ",38.148403059,6.29992598967,32.5,31,0,1,2.69111013775,33.73,0.416,-0.575609904499536,0.319343238832995,-0.597841807671004,1.2640630414512,-1.04873758578771,0.597841807671004,0.113858380668154,-0.342168560872082,0.0111159515857342,-0.225447889058355,-0.812173745143625
"166","Myanmar","Asia","South-Eastern Asia","MMR","MMR",36.1200740978,92.8760875127,23.5,22,1,0,6.208356459,267.74,0.536,-1.02330649688806,6.19282562128735,0.988693907892598,0.497191817940158,-1.19901244873094,-0.988693907892598,1.39360840550223,-1.0703376178372,-1.00600020239033,-1.09385317831177,-1.1111594728095
"167","Namibia","Africa","Southern Africa","NAM","NAM",44.9276788502,-7.39747077974,31.8,53,0,0,2.550320557,24.84,0.628,0.51875954356131,-0.609912773391757,-0.661348220881131,1.20441750184478,-0.546474511175698,0.661348220881131,0.190064997016895,0.211211084422247,0.59005388222122,0.0574368548527161,-0.0138574838071942
"168","Nauru","Oceania","Micronesia","NRU","NRU",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Nepal","Asia","Southern Asia","NPL","NPL",44.9094167085,6.05771202482,22.2,27,0,1,3.6763763635,70.08,0.548,-0.774586167783326,0.302911008178457,-0.1534145729201,0.386421530099674,-0.547827516971856,0.1534145729201,-0.106086862228256,-0.389666370611694,-0.310585797431613,-0.197206472025878,-0.661206842377591
"170","Netherlands","Europe","Western Europe","NLD","NLD",73.7111187201,6.28029348562,NA,87,0,0,NA,831.41,0.922,2.21005778147353,0.318011334476962,NA,NA,1.58603336315095,NA,NA,NA,NA,NA,1.89804557231224
"171","Netherlands Antilles","Americas","Caribbean","ANT","ANT",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","New Caledonia","Oceania","Melanesia","NCL","NCL",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
